Days to Maturity,Close_Index,IV_Call,IV_Put,Log Forward Moneyness,IV
0,497.71,,,-0.6302877521015919,
1,497.71,,,-0.6302877521015919,
4,497.71,,,-0.6302877521015919,
5,497.71,,,-0.6302877521015919,
6,497.71,,,-0.6302877521015919,
7,497.71,,,-0.6302877521015919,
8,497.71,1.2339,1.2339,-0.6302877521015919,1.2339
12,497.71,,,-0.6302877521015919,
13,497.71,,,-0.6302877521015919,
14,497.71,,,-0.6302877521015919,
15,497.71,,,-0.6302877521015919,
21,497.71,,,-0.6302877521015919,
22,497.71,,,-0.6302877521015919,
29,497.71,,,-0.6302877521015919,
36,497.71,0.6388,0.6388,-0.6302877521015919,0.6388
43,497.71,,,-0.6302877521015919,
49,497.71,,,-0.6302877521015919,
71,497.71,0.5207,0.5207,-0.6302877521015919,0.5207
82,497.71,,,-0.6302877521015919,
99,497.71,0.4742,0.4742,-0.6302877521015919,0.4742
113,497.71,,,-0.6302877521015919,
134,497.71,0.4346,0.4346,-0.6302877521015919,0.4346
141,497.71,,,-0.6302877521015919,
162,497.71,0.416,0.416,-0.6302877521015919,0.416
174,497.71,,,-0.6302877521015919,
190,497.71,0.4014,0.4014,-0.6302877521015919,0.4014
225,497.71,0.3854,0.3854,-0.6302877521015919,0.3854
235,497.71,,,-0.6302877521015919,
316,497.71,0.3573,0.3573,-0.6302877521015919,0.3573
327,497.71,,,-0.6302877521015919,
344,497.71,0.3488,0.3488,-0.6302877521015919,0.3488
407,497.71,0.3361,0.3361,-0.6302877521015919,0.3361
498,497.71,0.3214,0.3214,-0.6302877521015919,0.3214
680,497.71,0.3044,0.3044,-0.6302877521015919,0.3044
708,497.71,0.3005,0.3005,-0.6302877521015919,0.3005
1044,497.71,0.2793,0.2793,-0.6302877521015919,0.2793
