Days to Maturity,Close_Index,IV_Call,IV_Put,Log Forward Moneyness,IV
0,497.71,,,-0.23620796621855283,
1,497.71,,,-0.23620796621855283,
4,497.71,,,-0.23620796621855283,
5,497.71,,,-0.23620796621855283,
6,497.71,,,-0.23620796621855283,
7,497.71,,,-0.23620796621855283,
8,497.71,,,-0.23620796621855283,
12,497.71,,,-0.23620796621855283,
13,497.71,,,-0.23620796621855283,
14,497.71,,,-0.23620796621855283,
15,497.71,,,-0.23620796621855283,
21,497.71,,,-0.23620796621855283,
22,497.71,,,-0.23620796621855283,
29,497.71,,,-0.23620796621855283,
36,497.71,,,-0.23620796621855283,
43,497.71,,,-0.23620796621855283,
49,497.71,0.3025,0.3025,-0.23620796621855283,0.3025
71,497.71,,,-0.23620796621855283,
82,497.71,,,-0.23620796621855283,
99,497.71,,,-0.23620796621855283,
113,497.71,,,-0.23620796621855283,
134,497.71,,,-0.23620796621855283,
141,497.71,,,-0.23620796621855283,
162,497.71,,,-0.23620796621855283,
174,497.71,,,-0.23620796621855283,
190,497.71,,,-0.23620796621855283,
225,497.71,,,-0.23620796621855283,
235,497.71,0.2316,0.2316,-0.23620796621855283,0.2316
316,497.71,,,-0.23620796621855283,
327,497.71,,,-0.23620796621855283,
344,497.71,,,-0.23620796621855283,
407,497.71,,,-0.23620796621855283,
498,497.71,,,-0.23620796621855283,
680,497.71,,,-0.23620796621855283,
708,497.71,,,-0.23620796621855283,
1044,497.71,,,-0.23620796621855283,
