Days to Maturity,Close_Index,IV_Call,IV_Put,Log Forward Moneyness,IV
0,497.71,,,-0.4734452806086221,
1,497.71,,,-0.4734452806086221,
4,497.71,,,-0.4734452806086221,
5,497.71,,,-0.4734452806086221,
6,497.71,,,-0.4734452806086221,
7,497.71,,,-0.4734452806086221,
8,497.71,0.9407,0.9407,-0.4734452806086221,0.9407
12,497.71,,,-0.4734452806086221,
13,497.71,,,-0.4734452806086221,
14,497.71,,,-0.4734452806086221,
15,497.71,,,-0.4734452806086221,
21,497.71,0.6382,0.6382,-0.4734452806086221,0.6382
22,497.71,,,-0.4734452806086221,
29,497.71,,,-0.4734452806086221,
36,497.71,0.5248,0.5248,-0.4734452806086221,0.5248
43,497.71,0.502,0.502,-0.4734452806086221,0.502
49,497.71,0.479,0.479,-0.4734452806086221,0.479
71,497.71,0.4326,0.4326,-0.4734452806086221,0.4326
82,497.71,0.413,0.413,-0.4734452806086221,0.413
99,497.71,0.3919,0.3919,-0.4734452806086221,0.3919
113,497.71,0.3777,0.3777,-0.4734452806086221,0.3777
134,497.71,0.3637,0.3637,-0.4734452806086221,0.3637
141,497.71,0.3593,0.3593,-0.4734452806086221,0.3593
162,497.71,0.3501,0.3501,-0.4734452806086221,0.3501
174,497.71,,,-0.4734452806086221,
190,497.71,0.3398,0.3398,-0.4734452806086221,0.3398
225,497.71,0.3274,0.3274,-0.4734452806086221,0.3274
235,497.71,0.3235,0.3235,-0.4734452806086221,0.3235
316,497.71,0.307,0.307,-0.4734452806086221,0.307
327,497.71,,,-0.4734452806086221,
344,497.71,0.3007,0.3007,-0.4734452806086221,0.3007
407,497.71,0.2924,0.2924,-0.4734452806086221,0.2924
498,497.71,0.2821,0.2821,-0.4734452806086221,0.2821
680,497.71,0.2716,0.2716,-0.4734452806086221,0.2716
708,497.71,0.2679,0.2679,-0.4734452806086221,0.2679
1044,497.71,0.2537,0.2537,-0.4734452806086221,0.2537
